//[31:0] data
00000000000000000000000000000000 //0
00000000000000000000000011111111 //1
00000000000000001111111100000000 //2
00000000000000001111111111111111 //3
00000000111111110000000000000000 //4
00000000111111110000000011111111 //5
00000000111111111111111100000000 //6
00000000111111111111111111111111 //7
11111111000000000000000000000000 //8
11111111000000000000000011111111 //9
11111111000000001111111100000000 //10
11111111000000001111111111111111 //11
11111111111111110000000000000000 //12
11111111111111110000000011111111 //13
11111111111111111111111100000000 //14
11111111111111111111111111111111 //15
