	| MemtoReg | MemWrite | BranchEq | BranchNE | AluOp/Control | AluScr | RegDst | RegWrite | Jump | ZeroExtend |
R-type	| 	 0 | 	    0 |        0 | 	  0 | 		xxx | 	   0 | 	    1 |        1 |    0 |	   0 |
lw	| 	 1 | 	    0 |        0 | 	  0 | 		010 | 	   1 | 	    0 |        1 |    0 |	   0 |
sw	| 	 0 | 	    1 |        0 | 	  0 | 		010 | 	   1 | 	    0 |        0 |    0 |	   0 |
beq	| 	 0 | 	    0 |        1 | 	  0 | 		110 | 	   0 | 	    0 |        0 |    0 |	   0 |

addi	| 	 0 | 	    0 |        0 | 	  0 | 		010 | 	   1 | 	    0 |        1 |    0 |	   0 |
j	| 	 0 | 	    0 |        0 | 	  0 | 		xxx | 	   0 | 	    0 |        0 |    1 |	   0 |

addiu	| 	 0 | 	    0 |        0 | 	  0 | 		010 | 	   1 | 	    0 |        1 |    0 |	   1 |
andi	| 	 0 | 	    0 |        0 | 	  0 | 		000 | 	   1 | 	    0 |        1 |    0 |	   1 |
bne	| 	 0 | 	    0 |        0 | 	  1 | 		110 | 	   0 | 	    0 |        0 |    0 |	   0 |
ori	| 	 0 | 	    0 |        0 | 	  0 | 		001 | 	   1 | 	    0 |        1 |    0 |	   1 |
slti	| 	 0 | 	    0 |        0 | 	  0 | 		111 | 	   1 | 	    0 |        1 |    0 |	   0 |
