//reg [31:0] Instruction, reg [31:0] PC_Plus4, reg [31:0] Result, 
//reg Reg_Dst, reg Reg_Write, reg Zero_Extend, reg ALU_Src, reg [2:0] ALU_Control
//xxxxxxxxxInstructionxxxxxxxxxxxx xxxxxxxPC_Plus4xxxxxxxxxxxxxxxxx xxxxResultxxxxxxxxxxxxxxxxxxxxxx x x x x xxx
//xxxxxx xxxxx xxxxx xxxxx xxxxx xxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx x x x x xxx
000000 00000 00000 00000 00000 000000 00000000000000000000000000000000 00000000000000000000000000000000 0 0 0 0 000
000000 00001 00010 01000 00000 100000 00000000000000000000000000000001 00000000000000110011001100110011 1 1 0 0 010
000000 00001 00010 01000 00000 100000 00000000000000000000000000000010 00000000000000000000000000000000 1 0 1 0 010
000000 01000 01001 00000 00000 100010 00000000000000000000000000000011 00000000000000000000000000000000 0 0 0 0 110
000000 00000 00000 00000 00000 000000 00000000000000000000000000000100 00000000000000000000000000000000 0 0 0 0 000
000000 00111 01000 00000 00000 000000 00000000000000000000000000000101 00000000000000000000000000000000 0 0 0 0 000
000000 00001 00010 00100 00000 000000 00000000000000000000000000000110 00000000000000000000000000000000 0 0 0 1 010
000000 00001 00001 00000 00000 000000 00000000000000000000000000000111 00000000000000000000000000000000 0 0 0 0 110
000000 00010 00010 00000 00000 000000 00000000000000000000000000001000 00000000000000000000000000000000 0 0 0 0 110
000000 00000 00000 00000 00000 000000 00000000000000000000000000001001 00000000000000000000000000000000 0 0 0 0 000
000000 00000 10001 10001 00000 000000 00000000000000000000000000001010 00000000000000000000000000000000 0 0 0 0 000
000000 00000 10000 10000 00000 000000 00000000000000000000000000001011 00000000000000000000000000000000 0 0 0 0 000
000000 00000 10000 10001 00000 000000 00000000000000000000000000001100 00000000000000000000000000000000 0 0 1 0 000
000000 00000 10001 10000 00000 000000 00000000000000000000000000001101 00000000000000000000000000000000 0 0 1 0 000
000000 00000 00000 00000 00000 000000 00000000000000000000000000001110 00000000000000000000000000000000 0 0 0 0 000
000000 00000 00000 00000 00000 000000 00000000000000000000000000001111 00000000000000000000000000000000 0 0 0 0 000
